customer_id,timestamp,age,gender,location,device_type,session_duration,pages_visited,purchase_amount,cart_items,category_visited,payment_method,discount_used,return_requested,customer_loyalty_score,churn_label
CUST-4692,2/1/2025 1:50,19,Male,India,Desktop,524,20,241.59,2,Beauty,Credit Card,FALSE,FALSE,53.79,0
CUST-5511,2/1/2025 0:23,33,Male,USA,Tablet,2564,20,435.79,5,Clothing,Debit Card,TRUE,FALSE,80.85,0
CUST-9250,2/1/2025 0:24,46,Female,India,Tablet,2703,16,474.74,0,Clothing,Credit Card,TRUE,FALSE,70.11,0
CUST-8159,2/1/2025 2:05,36,Male,Australia,Mobile,2340,10,38.98,2,Electronics,Credit Card,FALSE,FALSE,99.78,0
CUST-3168,2/1/2025 2:10,33,Other,Germany,Tablet,332,19,137.44,5,Clothing,PayPal,TRUE,FALSE,80.65,0
CUST-6453,2/1/2025 1:48,53,Male,UK,Desktop,305,17,93.24,4,Books,PayPal,TRUE,TRUE,57.64,0
CUST-6692,2/1/2025 1:24,57,Other,Germany,Mobile,1856,16,449.22,0,Electronics,PayPal,FALSE,TRUE,17.14,1
CUST-7561,2/1/2025 1:27,31,Other,Germany,Mobile,2251,11,366.56,2,Books,Debit Card,TRUE,TRUE,67.91,0
CUST-7569,2/1/2025 1:30,39,Female,Australia,Desktop,1750,15,294.02,5,Books,Credit Card,TRUE,TRUE,82.09,0
CUST-4906,2/1/2025 1:02,60,Male,UK,Tablet,2068,4,119.61,2,Electronics,Cryptocurrency,TRUE,TRUE,13.49,1
CUST-1051,2/1/2025 1:36,46,Female,Australia,Mobile,3518,5,402.71,4,Home Decor,Credit Card,TRUE,FALSE,63.44,0
CUST-6551,2/1/2025 0:33,63,Other,UK,Mobile,342,8,16.46,2,Clothing,Net Banking,TRUE,FALSE,94.22,0
CUST-8494,2/1/2025 2:50,43,Other,Canada,Tablet,282,14,91.58,0,Electronics,Credit Card,TRUE,FALSE,11.27,1
CUST-6737,2/1/2025 1:45,59,Male,Germany,Mobile,2463,4,263.56,2,Clothing,PayPal,FALSE,FALSE,52.08,0
CUST-4351,2/1/2025 1:48,18,Male,Canada,Mobile,3544,18,202.95,3,Home Decor,Cryptocurrency,TRUE,TRUE,33.07,0
CUST-2194,2/1/2025 1:51,56,Male,USA,Desktop,555,15,287.02,1,Clothing,PayPal,TRUE,TRUE,12.93,1
CUST-5418,2/1/2025 2:32,56,Other,Canada,Mobile,800,3,23.36,5,Sports,Debit Card,TRUE,FALSE,4.8,1
CUST-1123,2/1/2025 3:15,46,Female,UK,Desktop,1059,4,451.81,0,Books,Net Banking,TRUE,TRUE,0.25,1
CUST-5895,2/1/2025 3:20,19,Female,Germany,Tablet,2558,14,14.42,0,Home Decor,Credit Card,FALSE,FALSE,8.08,1
CUST-1717,2/1/2025 2:03,62,Male,Germany,Desktop,2637,18,499.66,4,Books,Cryptocurrency,TRUE,FALSE,7.31,1
CUST-1266,2/1/2025 0:42,58,Female,India,Desktop,34,5,372.31,3,Books,Cryptocurrency,FALSE,TRUE,18.72,1
CUST-5218,2/1/2025 1:26,37,Male,Canada,Mobile,2612,14,345.42,1,Beauty,Credit Card,TRUE,TRUE,94.89,0
CUST-1966,2/1/2025 0:44,42,Other,Canada,Tablet,3277,12,126,0,Beauty,Cryptocurrency,TRUE,FALSE,39.72,0
CUST-7985,2/1/2025 3:45,54,Female,USA,Mobile,30,4,323.85,4,Clothing,Cryptocurrency,TRUE,TRUE,78.18,0
CUST-6182,2/1/2025 2:18,39,Male,India,Desktop,2218,3,383.76,5,Beauty,Debit Card,TRUE,TRUE,49.24,0
CUST-1823,2/1/2025 2:21,62,Female,Germany,Tablet,3356,6,19.2,4,Home Decor,Debit Card,FALSE,FALSE,77.35,0
CUST-3672,2/1/2025 4:00,40,Female,Canada,Desktop,146,11,40.83,3,Sports,Credit Card,FALSE,FALSE,11.56,1
CUST-5822,2/1/2025 0:49,54,Other,India,Tablet,272,15,437.67,0,Electronics,Debit Card,TRUE,TRUE,8.65,1
CUST-5146,2/1/2025 4:10,33,Female,USA,Mobile,2516,20,61.77,0,Electronics,Net Banking,FALSE,TRUE,29.36,1
CUST-8605,2/1/2025 1:42,58,Female,USA,Desktop,153,19,368.57,5,Sports,PayPal,TRUE,TRUE,85.9,0
CUST-8621,2/1/2025 4:20,28,Female,USA,Tablet,1379,4,82.57,5,Home Decor,Cryptocurrency,FALSE,TRUE,45.48,0
CUST-7463,2/1/2025 1:46,36,Other,Australia,Mobile,288,8,30.29,4,Sports,Cryptocurrency,FALSE,FALSE,84.38,0
CUST-8687,2/1/2025 4:30,26,Male,UK,Tablet,3338,17,393.23,2,Beauty,Net Banking,TRUE,FALSE,16.32,1
CUST-6864,2/1/2025 0:55,35,Female,India,Desktop,275,15,135.54,5,Books,PayPal,TRUE,TRUE,38.69,0
CUST-3412,2/1/2025 2:48,38,Male,UK,Tablet,1977,3,62.95,5,Electronics,Net Banking,TRUE,FALSE,4.05,1
CUST-7554,2/1/2025 1:54,54,Other,Germany,Tablet,3122,5,80.7,4,Electronics,PayPal,TRUE,TRUE,60.25,0
CUST-1016,2/1/2025 0:58,55,Female,Australia,Mobile,2866,15,369.12,1,Sports,Cryptocurrency,FALSE,TRUE,40.51,0
CUST-8316,2/1/2025 4:55,22,Male,Germany,Mobile,1864,13,75.84,1,Beauty,Debit Card,TRUE,FALSE,59.42,0
CUST-6592,2/1/2025 3:00,30,Other,Canada,Mobile,3226,8,30.44,2,Beauty,Cryptocurrency,TRUE,FALSE,91.83,0
CUST-9874,2/1/2025 2:02,54,Other,India,Tablet,1747,15,416.78,2,Sports,Cryptocurrency,FALSE,TRUE,58.48,0
CUST-2211,2/1/2025 5:10,18,Male,Germany,Mobile,2476,3,106.39,0,Home Decor,Credit Card,FALSE,TRUE,7.17,1
CUST-5415,2/1/2025 4:12,54,Other,UK,Tablet,2815,7,486.26,0,Books,Cryptocurrency,FALSE,FALSE,32.42,0
CUST-2917,2/1/2025 1:04,54,Female,India,Desktop,1286,13,119.64,4,Clothing,Cryptocurrency,FALSE,FALSE,15.4,1
CUST-2954,2/1/2025 3:15,41,Other,Canada,Tablet,2730,18,80.33,0,Beauty,Cryptocurrency,TRUE,TRUE,69.13,0
CUST-7592,2/1/2025 2:12,60,Female,USA,Desktop,1995,6,314.85,1,Home Decor,Debit Card,FALSE,FALSE,92.21,0
CUST-6018,2/1/2025 4:28,60,Male,Canada,Mobile,1185,9,272.04,3,Beauty,PayPal,TRUE,TRUE,40.25,0
CUST-6603,2/1/2025 3:24,20,Other,India,Tablet,2083,1,221.79,5,Clothing,Credit Card,TRUE,TRUE,63.15,0
CUST-8571,2/1/2025 4:36,24,Male,Canada,Tablet,3592,13,448.05,3,Beauty,Credit Card,TRUE,FALSE,59.32,0
CUST-3542,2/1/2025 1:10,47,Male,Canada,Desktop,3527,12,81.67,3,Books,Cryptocurrency,FALSE,FALSE,73.16,0
CUST-3474,2/1/2025 4:44,50,Other,Germany,Desktop,1506,15,243.29,3,Books,Debit Card,TRUE,TRUE,54.58,0
CUST-3361,2/1/2025 2:24,41,Other,USA,Tablet,158,17,237.36,3,Clothing,Cryptocurrency,FALSE,TRUE,95.44,0
CUST-2205,2/1/2025 6:05,41,Male,USA,Desktop,1379,2,375.45,5,Beauty,Cryptocurrency,TRUE,FALSE,9.2,1
CUST-2157,2/1/2025 2:28,27,Male,Germany,Desktop,2044,4,405.12,0,Electronics,Net Banking,TRUE,TRUE,1.77,1
CUST-8411,2/1/2025 1:15,41,Other,Canada,Mobile,1584,7,425.02,5,Books,PayPal,FALSE,TRUE,85.49,0
CUST-5969,2/1/2025 2:32,28,Other,USA,Tablet,3461,20,258.22,2,Books,PayPal,TRUE,FALSE,63.61,0
CUST-1613,2/1/2025 1:17,64,Other,USA,Desktop,321,6,13.16,4,Home Decor,Debit Card,TRUE,FALSE,99.35,0
CUST-8350,2/1/2025 1:18,24,Other,Australia,Tablet,1829,18,114.61,0,Beauty,Net Banking,FALSE,FALSE,64.71,0
CUST-7956,2/1/2025 5:16,29,Male,Germany,Desktop,877,2,326.54,0,Beauty,Net Banking,TRUE,FALSE,56.54,0
CUST-4744,2/1/2025 1:20,33,Other,India,Desktop,423,19,497.15,4,Books,Cryptocurrency,FALSE,TRUE,48.36,0
CUST-3752,2/1/2025 1:21,48,Female,Germany,Desktop,2348,8,252.65,1,Electronics,Cryptocurrency,FALSE,TRUE,34.49,0
CUST-8639,2/1/2025 6:50,36,Male,Canada,Tablet,3095,2,149.14,2,Home Decor,Net Banking,FALSE,FALSE,48.8,0
CUST-5278,2/1/2025 4:09,40,Female,USA,Desktop,501,1,288.66,5,Beauty,Cryptocurrency,FALSE,FALSE,31.21,0
CUST-9352,2/1/2025 5:36,44,Female,Germany,Mobile,3583,2,498.97,1,Clothing,PayPal,TRUE,FALSE,88.54,0
CUST-2854,2/1/2025 1:25,61,Female,Canada,Desktop,3330,12,98.45,5,Books,Credit Card,TRUE,TRUE,25.66,1
CUST-3664,2/1/2025 2:52,64,Female,USA,Mobile,1043,13,360.74,0,Home Decor,Net Banking,FALSE,TRUE,36.63,0
CUST-2606,2/1/2025 5:48,50,Male,Canada,Mobile,490,20,460.39,4,Sports,PayPal,TRUE,TRUE,47.52,0
CUST-5040,2/1/2025 2:56,54,Male,Germany,Tablet,1629,10,342.72,5,Home Decor,Debit Card,FALSE,TRUE,86.28,0
CUST-7917,2/1/2025 2:58,19,Female,India,Desktop,3324,8,175.65,5,Home Decor,Net Banking,TRUE,TRUE,49.26,0
CUST-4970,2/1/2025 7:30,25,Other,Canada,Mobile,1794,12,390.91,1,Home Decor,Debit Card,TRUE,TRUE,80.91,0
CUST-2580,2/1/2025 4:33,37,Male,Australia,Desktop,3271,6,415.18,3,Sports,Debit Card,FALSE,TRUE,89.11,0
CUST-4508,2/1/2025 3:04,65,Other,USA,Desktop,1841,18,145.2,0,Beauty,Credit Card,FALSE,TRUE,19.39,1
CUST-5550,2/1/2025 3:06,18,Female,Germany,Mobile,2262,17,21.14,1,Books,Net Banking,TRUE,FALSE,15.39,1
CUST-1962,2/1/2025 4:42,18,Other,India,Desktop,966,5,345.04,4,Home Decor,Net Banking,TRUE,TRUE,20.79,1
CUST-1392,2/1/2025 4:45,40,Female,Germany,Mobile,3219,3,6.76,4,Books,Debit Card,FALSE,FALSE,53.95,0
CUST-6592,2/1/2025 8:00,61,Male,UK,Desktop,596,8,198.86,3,Home Decor,Debit Card,TRUE,FALSE,84.75,0
CUST-1595,2/1/2025 6:28,42,Male,Canada,Tablet,1582,1,113.65,1,Books,Credit Card,TRUE,TRUE,95.93,0
CUST-3071,2/1/2025 8:10,59,Female,Australia,Mobile,2269,4,91.64,1,Electronics,Net Banking,FALSE,FALSE,2.66,1
CUST-8122,2/1/2025 3:18,55,Male,Germany,Mobile,236,10,138.45,3,Beauty,Cryptocurrency,FALSE,FALSE,2.01,1
CUST-1530,2/1/2025 8:20,39,Male,UK,Desktop,1835,6,226.38,5,Sports,Credit Card,FALSE,FALSE,84.7,0
CUST-8998,2/1/2025 3:22,34,Male,India,Mobile,627,10,139.97,0,Sports,Net Banking,FALSE,FALSE,55.21,0
CUST-6313,2/1/2025 1:42,31,Female,Germany,Tablet,1522,19,314.9,0,Home Decor,PayPal,FALSE,TRUE,47.7,0
CUST-6437,2/1/2025 1:43,22,Female,India,Tablet,1715,10,27.83,4,Sports,PayPal,FALSE,FALSE,68.67,0
CUST-1658,2/1/2025 6:56,18,Female,Canada,Mobile,3092,18,67.5,0,Beauty,PayPal,FALSE,FALSE,80.61,0
CUST-7013,2/1/2025 5:15,42,Male,Germany,Desktop,1269,8,349.11,2,Books,PayPal,FALSE,TRUE,78.7,0
CUST-3175,2/1/2025 8:50,19,Female,Australia,Mobile,846,5,83.51,2,Home Decor,Net Banking,FALSE,FALSE,40.92,0
CUST-7681,2/1/2025 8:55,46,Other,India,Desktop,1962,2,429.1,3,Clothing,Credit Card,TRUE,TRUE,27.71,1
CUST-5409,2/1/2025 1:48,47,Male,UK,Mobile,523,7,158.42,1,Beauty,Debit Card,FALSE,TRUE,2.39,1
CUST-1238,2/1/2025 9:05,56,Male,Germany,Tablet,2286,7,92.3,0,Clothing,Net Banking,FALSE,TRUE,38.8,0
CUST-7942,2/1/2025 3:40,57,Male,Germany,Tablet,3499,4,233.54,4,Electronics,Net Banking,FALSE,TRUE,84.72,0
CUST-8755,2/1/2025 3:42,53,Female,Australia,Desktop,1936,14,425.29,1,Sports,PayPal,FALSE,TRUE,61.89,0
CUST-4949,2/1/2025 1:52,43,Female,Canada,Desktop,2658,2,204.68,4,Books,Net Banking,TRUE,FALSE,37.45,0
CUST-3549,2/1/2025 1:53,32,Other,India,Tablet,321,10,292.27,0,Sports,Cryptocurrency,TRUE,TRUE,60.4,0
CUST-5118,2/1/2025 3:48,45,Other,USA,Tablet,1109,10,443.6,1,Books,Net Banking,FALSE,FALSE,47.13,0
CUST-1688,2/1/2025 7:40,33,Female,Australia,Tablet,356,11,328.47,3,Electronics,PayPal,FALSE,TRUE,75.95,0
CUST-6137,2/1/2025 7:44,60,Other,Australia,Mobile,273,16,138.43,5,Home Decor,PayPal,TRUE,FALSE,99.02,0
CUST-6717,2/1/2025 1:57,39,Female,UK,Mobile,3163,5,21.4,5,Beauty,Cryptocurrency,FALSE,FALSE,77.82,0
CUST-7008,2/1/2025 3:56,52,Male,UK,Mobile,1862,11,416.86,3,Sports,PayPal,FALSE,FALSE,94.74,0
CUST-9275,2/1/2025 5:57,19,Female,UK,Desktop,1765,12,94.44,3,Clothing,PayPal,TRUE,FALSE,97.31,0
CUST-9093,2/1/2025 10:00,49,Female,India,Desktop,2547,1,88.67,0,Home Decor,PayPal,FALSE,FALSE,55.55,0
CUST-1020,2/1/2025 10:05,64,Male,Australia,Mobile,876,10,360.91,5,Beauty,Net Banking,FALSE,FALSE,85.93,0
CUST-6222,2/1/2025 6:06,33,Other,Germany,Tablet,68,4,317.23,1,Sports,PayPal,FALSE,TRUE,35.74,0
CUST-6891,2/1/2025 2:03,18,Other,Australia,Tablet,1525,15,411.53,3,Electronics,Net Banking,FALSE,FALSE,34.26,0
CUST-3166,2/1/2025 10:20,28,Female,UK,Tablet,3461,13,207.14,5,Books,PayPal,TRUE,FALSE,57.36,0
CUST-6447,2/1/2025 4:10,37,Other,Germany,Mobile,3431,3,374.93,2,Clothing,Cryptocurrency,FALSE,TRUE,56.14,0
CUST-6053,2/1/2025 6:18,21,Other,Canada,Tablet,3040,17,228.91,4,Books,Credit Card,TRUE,FALSE,87.63,0
CUST-1750,2/1/2025 8:28,57,Male,USA,Tablet,1361,2,326.03,0,Electronics,Cryptocurrency,TRUE,FALSE,63.77,0
CUST-3685,2/1/2025 6:24,33,Female,USA,Desktop,1451,20,220.95,1,Beauty,Debit Card,FALSE,FALSE,63.49,0
CUST-7684,2/1/2025 10:45,22,Other,India,Tablet,878,2,370.51,4,Beauty,Net Banking,TRUE,FALSE,9.04,1
CUST-7893,2/1/2025 8:40,42,Female,Canada,Desktop,1866,5,254.76,0,Clothing,Cryptocurrency,FALSE,FALSE,9.89,1
CUST-3730,2/1/2025 2:11,46,Female,USA,Tablet,2237,20,210.82,1,Home Decor,Credit Card,FALSE,TRUE,49.46,0
CUST-7332,2/1/2025 2:12,54,Other,Canada,Desktop,1655,15,434.83,1,Sports,PayPal,TRUE,FALSE,18.67,1
CUST-4708,2/1/2025 2:13,39,Male,Australia,Tablet,1833,10,314.48,3,Clothing,Net Banking,TRUE,TRUE,12.93,1
CUST-4408,2/1/2025 4:28,58,Female,Germany,Desktop,1423,1,133.59,5,Beauty,Credit Card,TRUE,FALSE,56.27,0
CUST-9695,2/1/2025 6:45,29,Other,Australia,Mobile,1877,10,109.19,2,Electronics,Debit Card,TRUE,FALSE,86.53,0
CUST-2397,2/1/2025 2:16,29,Male,Australia,Desktop,3352,9,83.36,4,Sports,PayPal,FALSE,FALSE,24.6,1
CUST-2153,2/1/2025 2:17,32,Other,Australia,Tablet,492,7,99.02,3,Beauty,Debit Card,FALSE,TRUE,53.1,0
CUST-7244,2/1/2025 6:54,60,Female,USA,Mobile,3537,7,326.5,0,Beauty,Net Banking,FALSE,TRUE,47.96,0
CUST-7963,2/1/2025 6:57,42,Other,Canada,Desktop,640,8,481.82,2,Beauty,PayPal,TRUE,FALSE,36.34,0
CUST-5404,2/1/2025 7:00,53,Other,Australia,Mobile,2575,5,80.28,3,Home Decor,Credit Card,TRUE,TRUE,96.67,0
CUST-4182,2/1/2025 9:24,54,Female,Germany,Tablet,2295,18,353.71,4,Sports,Cryptocurrency,TRUE,TRUE,31.82,0
CUST-6874,2/1/2025 2:22,50,Other,UK,Mobile,500,18,337.51,3,Sports,Credit Card,TRUE,TRUE,88.3,0
CUST-6210,2/1/2025 9:32,45,Female,Germany,Mobile,3333,15,77.16,3,Clothing,Debit Card,TRUE,TRUE,27.66,1
CUST-6037,2/1/2025 7:12,56,Female,Australia,Mobile,2053,17,400.39,2,Clothing,PayPal,FALSE,FALSE,36.21,0
CUST-2072,2/1/2025 9:40,48,Female,Canada,Tablet,2858,18,77.99,3,Home Decor,Credit Card,FALSE,TRUE,11.24,1
CUST-6781,2/1/2025 9:44,61,Female,Canada,Mobile,143,13,413.77,2,Clothing,Debit Card,FALSE,TRUE,34.29,0
CUST-3346,2/1/2025 4:54,46,Other,India,Tablet,1261,6,348.58,2,Beauty,Debit Card,FALSE,FALSE,63.01,0
CUST-9784,2/1/2025 2:28,50,Other,India,Tablet,1303,19,388.8,5,Clothing,Cryptocurrency,FALSE,FALSE,83.45,0
CUST-6361,2/1/2025 7:27,26,Male,Germany,Mobile,56,4,489.06,5,Beauty,Net Banking,TRUE,TRUE,42.1,0
CUST-6832,2/1/2025 7:30,60,Female,India,Desktop,1220,15,145.15,0,Home Decor,Debit Card,FALSE,TRUE,29.01,1
CUST-3361,2/1/2025 2:31,57,Female,India,Tablet,53,20,261.15,5,Sports,Credit Card,FALSE,FALSE,13.87,1
CUST-4911,2/1/2025 5:04,22,Other,Australia,Tablet,1538,6,120.58,3,Home Decor,Credit Card,TRUE,FALSE,25.28,1
CUST-2583,2/1/2025 12:45,54,Other,Canada,Mobile,2318,19,329,3,Sports,Debit Card,FALSE,FALSE,82.38,0
CUST-8102,2/1/2025 2:34,19,Other,Canada,Desktop,2805,15,93.72,5,Electronics,Credit Card,FALSE,TRUE,84.87,0
CUST-9593,2/1/2025 12:55,59,Male,USA,Desktop,1629,11,468.15,2,Home Decor,Credit Card,FALSE,FALSE,15.58,1
CUST-2486,2/1/2025 5:12,33,Other,India,Desktop,1084,12,307.65,0,Clothing,Net Banking,FALSE,TRUE,27.79,1
CUST-6887,2/1/2025 5:14,64,Female,USA,Mobile,2109,12,189.33,3,Books,Net Banking,TRUE,TRUE,54.92,0
CUST-3589,2/1/2025 7:54,40,Female,UK,Desktop,1795,15,323.65,5,Home Decor,Debit Card,FALSE,FALSE,1.18,1
CUST-4194,2/1/2025 10:36,60,Male,USA,Tablet,3532,6,216.7,2,Sports,Cryptocurrency,FALSE,TRUE,16.96,1
CUST-1418,2/1/2025 5:20,61,Other,USA,Mobile,1626,16,439.44,1,Books,PayPal,TRUE,TRUE,11.66,1
CUST-5978,2/1/2025 5:22,57,Other,India,Desktop,1757,15,165.35,1,Electronics,Net Banking,FALSE,TRUE,33.27,0
CUST-3108,2/1/2025 5:24,21,Female,Germany,Tablet,278,14,468.57,0,Books,Net Banking,TRUE,TRUE,94.27,0
CUST-8277,2/1/2025 2:43,65,Female,UK,Tablet,1421,5,374.29,3,Books,Cryptocurrency,TRUE,FALSE,50.09,0
CUST-4949,2/1/2025 8:12,61,Male,Australia,Mobile,1517,15,280.16,5,Beauty,Debit Card,FALSE,FALSE,12.09,1
CUST-6141,2/1/2025 8:15,47,Female,India,Tablet,520,3,357.96,3,Electronics,Debit Card,FALSE,FALSE,70.01,0
CUST-3370,2/1/2025 5:32,32,Other,USA,Mobile,504,11,221.83,4,Books,Cryptocurrency,TRUE,TRUE,51.31,0
CUST-6290,2/1/2025 5:34,30,Male,Germany,Desktop,2726,12,95.15,0,Home Decor,Credit Card,TRUE,TRUE,74.56,0
CUST-7152,2/1/2025 2:48,42,Male,Canada,Tablet,2537,11,201.59,3,Home Decor,Cryptocurrency,TRUE,TRUE,68.73,0
CUST-3050,2/1/2025 8:27,19,Female,Germany,Desktop,1907,13,80.97,1,Books,PayPal,TRUE,TRUE,73.07,0
CUST-3542,2/1/2025 11:20,32,Female,Germany,Mobile,1814,12,89.46,4,Books,Cryptocurrency,TRUE,TRUE,6.42,1
CUST-5199,2/1/2025 11:24,40,Female,Germany,Desktop,1112,2,188.87,4,Sports,Debit Card,TRUE,FALSE,3.06,1
CUST-4848,2/1/2025 14:20,60,Male,Canada,Desktop,333,5,180.3,3,Beauty,Debit Card,FALSE,FALSE,84.14,0
CUST-3115,2/1/2025 8:39,44,Male,Australia,Mobile,1264,20,389.51,1,Clothing,PayPal,TRUE,FALSE,10.29,1
CUST-3062,2/1/2025 11:36,28,Other,UK,Tablet,2761,20,420.27,2,Sports,PayPal,TRUE,FALSE,47.53,0
CUST-2699,2/1/2025 8:45,32,Female,UK,Mobile,1806,12,294.26,4,Sports,PayPal,TRUE,TRUE,70.67,0
CUST-7781,2/1/2025 8:48,33,Other,USA,Desktop,943,5,269.65,5,Clothing,Cryptocurrency,FALSE,TRUE,85.93,0
CUST-5874,2/1/2025 14:45,30,Male,India,Tablet,985,1,233.95,1,Electronics,Net Banking,FALSE,FALSE,21,1
CUST-4644,2/1/2025 14:50,50,Other,USA,Desktop,1788,19,490.46,1,Electronics,PayPal,FALSE,FALSE,52.36,0
CUST-8039,2/1/2025 5:58,56,Other,India,Mobile,3024,5,312.04,4,Electronics,Debit Card,FALSE,TRUE,81.25,0
CUST-9045,2/1/2025 3:00,51,Female,UK,Desktop,3058,20,264.7,4,Beauty,Credit Card,FALSE,TRUE,66.58,0
CUST-1288,2/1/2025 6:02,22,Female,Germany,Mobile,2174,12,101.53,3,Home Decor,Debit Card,FALSE,TRUE,17.45,1
CUST-6263,2/1/2025 3:02,61,Male,Germany,Desktop,3068,1,142.58,2,Electronics,Cryptocurrency,FALSE,TRUE,23.25,1
CUST-1903,2/1/2025 9:09,57,Male,India,Mobile,1347,20,175.91,2,Home Decor,Cryptocurrency,FALSE,TRUE,50.81,0
CUST-7660,2/1/2025 9:12,34,Male,India,Tablet,3569,3,364.97,0,Books,Debit Card,FALSE,TRUE,85.47,0
CUST-6654,2/1/2025 12:20,27,Other,Canada,Tablet,1816,16,316.03,5,Sports,Debit Card,TRUE,FALSE,64.42,0
CUST-6157,2/1/2025 12:24,33,Other,Germany,Desktop,1967,8,47.21,3,Beauty,PayPal,TRUE,FALSE,25.56,1
CUST-4173,2/1/2025 6:14,55,Female,Australia,Tablet,723,11,85.85,4,Home Decor,PayPal,FALSE,TRUE,20.89,1
CUST-7162,2/1/2025 12:32,45,Other,UK,Desktop,2712,11,4.12,5,Home Decor,Debit Card,TRUE,FALSE,64.61,0
CUST-3497,2/1/2025 15:45,62,Other,Germany,Tablet,2424,8,344.89,0,Electronics,Cryptocurrency,FALSE,TRUE,67.79,0
CUST-4567,2/1/2025 12:40,63,Other,UK,Mobile,2369,16,92.52,2,Home Decor,PayPal,TRUE,FALSE,13.06,1
CUST-8302,2/1/2025 3:11,27,Male,Canada,Desktop,3593,18,350.19,2,Home Decor,Net Banking,FALSE,TRUE,90.05,0
CUST-3738,2/1/2025 12:48,25,Male,Australia,Mobile,2851,4,187.32,0,Books,Cryptocurrency,TRUE,FALSE,72.46,0
CUST-2908,2/1/2025 16:05,23,Other,India,Tablet,3272,16,122.44,3,Beauty,Cryptocurrency,FALSE,FALSE,75.58,0
CUST-4609,2/1/2025 16:10,27,Other,Germany,Desktop,1264,4,296.05,3,Home Decor,Debit Card,FALSE,TRUE,77.66,0
CUST-9751,2/1/2025 6:30,55,Female,India,Tablet,1766,14,218.19,0,Electronics,Net Banking,TRUE,TRUE,78.18,0
CUST-1713,2/1/2025 13:04,29,Other,Australia,Mobile,3320,10,67.32,2,Sports,PayPal,TRUE,FALSE,17.18,1
CUST-9644,2/1/2025 16:25,44,Female,Australia,Mobile,955,2,206.31,4,Home Decor,Net Banking,FALSE,TRUE,72.68,0
CUST-3225,2/1/2025 13:12,58,Other,USA,Desktop,1259,16,61.42,0,Sports,Net Banking,FALSE,FALSE,10.47,1
